name,system
Street Fighter II: The World Warrior,Arcade
Street Fighter II: The World Warrior,Wii Shop
Street Fighter II: The World Warrior,PC
Street Fighter II: The World Warrior,iPhone
CheetahMen II,Nintendo Entertainment System
QuadroX-2,PC
Friday Night 3D Pool,PC
Toon-Doku,Nintendo DS
Metal & Lace: The Battle of the Robo Babes,PC
Command & Conquer: Red Alert,PlayStation
Command & Conquer: Red Alert,PC
SimEarth: The Living Planet,Amiga
SimEarth: The Living Planet,Super Nintendo Entertainment System
SimEarth: The Living Planet,Atari ST
SimEarth: The Living Planet,Mac
SimEarth: The Living Planet,Sega CD
SimEarth: The Living Planet,TurboGrafx-CD
SimEarth: The Living Planet,TurboGrafx-16
SimEarth: The Living Planet,Wii Shop
SimEarth: The Living Planet,PC
SimEarth: The Living Planet,Sharp X68000
SimEarth: The Living Planet,FM Towns
LEGO Star Wars: The Video Game,Game Boy Advance
LEGO Star Wars: The Video Game,Mac
LEGO Star Wars: The Video Game,PlayStation 2
LEGO Star Wars: The Video Game,GameCube
LEGO Star Wars: The Video Game,Xbox
LEGO Star Wars: The Video Game,PC
Tokyo Xtreme Racer Zero,PlayStation 2
Mountain Bike Racer,Commodore 64
Mountain Bike Racer,MSX
Mountain Bike Racer,ZX Spectrum
Mountain Bike Racer,Atari 8-bit
Moero! Nekketsu Rhythm Damashii Osu! Tatakae! Ouendan 2,Nintendo DS
Tales of Phantasia,Game Boy Advance
Tales of Phantasia,Super Nintendo Entertainment System
Milo,PC
The Hound of Shadow,Amiga
The Hound of Shadow,Atari ST
The Hound of Shadow,PC
Shengnü zhi Ge: Heroine Anthem: The Elect of Wassernixe,PC
Grandia III,PlayStation 2
Stubbs the Zombie in Rebel Without a Pulse,Mac
Stubbs the Zombie in Rebel Without a Pulse,Xbox
Stubbs the Zombie in Rebel Without a Pulse,Xbox Live Marketplace
Stubbs the Zombie in Rebel Without a Pulse,PC
Z.A.R.,PC
The Dam Busters,Amstrad CPC
The Dam Busters,Apple II
The Dam Busters,Commodore 64
The Dam Busters,MSX
The Dam Busters,ZX Spectrum
The Dam Busters,ColecoVision
The Dam Busters,PC
Bishoujo Senshi Sailor Moon S: Kurukkurin,Super Nintendo Entertainment System
CSI: Crime Scene Investigation - Hard Evidence,Mac
CSI: Crime Scene Investigation - Hard Evidence,Xbox 360
CSI: Crime Scene Investigation - Hard Evidence,Wii
CSI: Crime Scene Investigation - Hard Evidence,PC
Golden Sun,Game Boy Advance
Odama,GameCube
Tom Clancy's Ghost Recon: Advanced Warfighter 2,PlayStation Portable
Tom Clancy's Ghost Recon: Advanced Warfighter 2,Xbox 360
Tom Clancy's Ghost Recon: Advanced Warfighter 2,PlayStation 3
Tom Clancy's Ghost Recon: Advanced Warfighter 2,PC
Fantasy Zone: The Maze,Sega Master System
Gaelic Games: Football 2,PlayStation 2
Alchemist Marie & Elie: Futari no Atelier,WonderSwan Color
The Flintstones: The Rescue of Dino & Hoppy,Nintendo Entertainment System
GT Legends,PC
Rules of Engagement 2,Amiga
Rules of Engagement 2,PC
Pinky and the Brain: The Master Plan,Game Boy Advance
Brunswick Circuit Pro Bowling,PlayStation
Brunswick Circuit Pro Bowling,Nintendo 64
Brunswick Circuit Pro Bowling,PC
Wonder Momo,PlayStation
Wonder Momo,TurboGrafx-16
Wonder Momo,Arcade
Wonder Momo,Wii Shop
Frozzic's Revenge,PC
4-D Boxing,Amiga
4-D Boxing,Atari ST
4-D Boxing,Mac
4-D Boxing,PC
Rockman Complete Works: Rockman,PlayStation
Hoyle Official Book of Games: Volume 1,Amiga
Hoyle Official Book of Games: Volume 1,Atari ST
Hoyle Official Book of Games: Volume 1,Mac
Hoyle Official Book of Games: Volume 1,PC
NASCAR 2005: Chase for the Cup,PlayStation 2
NASCAR 2005: Chase for the Cup,GameCube
NASCAR 2005: Chase for the Cup,Xbox
F355 Challenge: Passione Rossa,PlayStation 2
F355 Challenge: Passione Rossa,Dreamcast
F355 Challenge: Passione Rossa,Arcade
Night City,MSX
Speed King 2,ZX Spectrum
Alien Outbreak,PC
Speedball 2: Brutal Deluxe,Amiga
Speedball 2: Brutal Deluxe,Game Boy
Speedball 2: Brutal Deluxe,Game Boy Advance
Speedball 2: Brutal Deluxe,Genesis
Speedball 2: Brutal Deluxe,Sega Master System
Speedball 2: Brutal Deluxe,Atari ST
Speedball 2: Brutal Deluxe,Commodore 64
Speedball 2: Brutal Deluxe,Amiga CD32
Speedball 2: Brutal Deluxe,Xbox Live Marketplace
Speedball 2: Brutal Deluxe,PlayStation Network (PS3)
Speedball 2: Brutal Deluxe,PC
Speedball 2: Brutal Deluxe,Acorn Archimedes
Vampire Killer,MSX
Legends of Valour,Amiga
Legends of Valour,Atari ST
Legends of Valour,PC
Legends of Valour,FM Towns
Hokuto no Ken 7 : Seiken Retsuden: Denshousha e no Michi,Super Nintendo Entertainment System
Skateboard Crazy,PC
Summon Night: Swordcraft Story,Game Boy Advance
The Legend of Kyrandia,Amiga
The Legend of Kyrandia,Mac
The Legend of Kyrandia,PC
The Legend of Kyrandia,FM Towns
Shootin' Gallery,Atari 2600
Utopia: The New Worlds,Amiga
Utopia: The New Worlds,Atari ST
Utopia: The New Worlds,PC
SeaBlade,Xbox
African Raiders-01,Amiga
African Raiders-01,Atari ST
African Raiders-01,PC
Dare to Dream,PC
Nekketsu! Beach Volley da yo Kunio-kun,Game Boy
webRIOT,PC
Petka and VICH Save the Galaxy,PC
Gangsters 2,PC
Atomic Robo-Kid,Amiga
Atomic Robo-Kid,Genesis
Atomic Robo-Kid,Atari ST
Atomic Robo-Kid,Commodore 64
B-17 Bomber,Intellivision
B-17 Bomber,PC
Sqoon,Nintendo Entertainment System
NASCAR Rumble,PlayStation
Donkey Kong,Game Boy Advance
Donkey Kong,Amstrad CPC
Donkey Kong,Apple II
Donkey Kong,Commodore 64
Donkey Kong,ZX Spectrum
Donkey Kong,Nintendo Entertainment System
Donkey Kong,Atari 8-bit
Donkey Kong,VIC-20
Donkey Kong,Atari 2600
Donkey Kong,ColecoVision
Donkey Kong,TI-99/4A
Donkey Kong,Intellivision
Donkey Kong,Atari 7800
Donkey Kong,Arcade
Donkey Kong,Wii Shop
Donkey Kong,Famicom Disk System
Donkey Kong,PC
Donkey Kong,Nintendo 3DS eShop
Donkey Kong,Wii U
Assault City,Sega Master System
Dungeons & Dragons: Warriors of the Eternal Sun,Genesis
Hell Cab,Mac
Hell Cab,PC
Nakoruru: Anohito kara no Okurimono,Dreamcast
Greg Norman's Ultimate Golf,Amiga
Greg Norman's Ultimate Golf,Atari ST
Fleet Defender,PC
Rendezvous with a Stranger Girl,PC
Disney's Bonkers: Wax Up!,Game Gear
Disney's Bonkers: Wax Up!,Sega Master System
Espial,Commodore 64
Espial,Atari 8-bit
Espial,Atari 2600
Who Wants To Be A Millionaire,PlayStation
Who Wants To Be A Millionaire,Game Boy Color
